bin_left,bin_right,count
52.46292307692307,53.88785769230768,1.0
53.88785769230768,55.3127923076923,0.0
55.3127923076923,56.73772692307691,7.0
56.73772692307691,58.16266153846153,25.0
58.16266153846153,59.58759615384614,43.0
59.58759615384614,61.012530769230764,97.0
61.012530769230764,62.43746538461538,166.0
62.43746538461538,63.862399999999994,323.0
63.862399999999994,65.28733461538461,628.0
65.28733461538461,66.71226923076922,1240.0
66.71226923076922,68.13720384615384,2080.0
68.13720384615384,69.56213846153845,3522.0
69.56213846153845,70.98707307692307,5840.0
70.98707307692307,72.41200769230768,8960.0
72.41200769230768,73.8369423076923,14310.0
73.8369423076923,75.26187692307691,21165.0
75.26187692307691,76.68681153846153,30941.0
76.68681153846153,78.11174615384614,44114.0
78.11174615384614,79.53668076923076,61109.0
79.53668076923076,80.96161538461537,82720.0
80.96161538461537,82.38654999999999,108693.0
82.38654999999999,83.8114846153846,140213.0
83.8114846153846,85.23641923076922,175811.0
85.23641923076922,86.66135384615384,216262.0
86.66135384615384,88.08628846153846,260058.0
88.08628846153846,89.51122307692307,306534.0
89.51122307692307,90.93615769230769,353012.0
90.93615769230769,92.3610923076923,398369.0
92.3610923076923,93.78602692307692,440444.0
93.78602692307692,95.21096153846153,475412.0
95.21096153846153,96.63589615384615,506113.0
96.63589615384615,98.06083076923076,526667.0
98.06083076923076,99.48576538461538,539708.0
99.48576538461538,100.91069999999999,541690.0
100.91069999999999,102.3356346153846,534199.0
102.3356346153846,103.76056923076922,515121.0
103.76056923076922,105.18550384615384,490940.0
105.18550384615384,106.61043846153845,459045.0
106.61043846153845,108.03537307692307,420624.0
108.03537307692307,109.46030769230768,379919.0
109.46030769230768,110.8852423076923,339101.0
110.8852423076923,112.31017692307691,296203.0
112.31017692307691,113.73511153846152,254188.0
113.73511153846152,115.16004615384614,215296.0
115.16004615384614,116.58498076923075,179446.0
116.58498076923075,118.00991538461537,146500.0
118.00991538461537,119.43484999999998,119317.0
119.43484999999998,120.8597846153846,94198.0
120.8597846153846,122.28471923076921,74046.0
122.28471923076921,123.70965384615383,56963.0
123.70965384615383,125.13458846153844,43471.0
125.13458846153844,126.55952307692306,32652.0
126.55952307692306,127.98445769230767,24018.0
127.98445769230767,129.4093923076923,17532.0
129.4093923076923,130.8343269230769,12750.0
130.8343269230769,132.25926153846152,8998.0
132.25926153846152,133.68419615384613,6200.0
133.68419615384613,135.10913076923075,4299.0
135.10913076923075,136.53406538461536,2959.0
136.53406538461536,137.95899999999997,2084.0
137.95899999999997,139.3839346153846,1348.0
139.3839346153846,140.8088692307692,862.0
140.8088692307692,142.23380384615382,551.0
142.23380384615382,143.65873846153843,361.0
143.65873846153843,145.08367307692305,224.0
145.08367307692305,146.50860769230766,105.0
146.50860769230766,147.93354230769228,83.0
147.93354230769228,149.3584769230769,49.0
149.3584769230769,150.7834115384615,28.0
150.7834115384615,152.20834615384612,23.0
152.20834615384612,153.63328076923074,4.0
153.63328076923074,155.05821538461535,7.0
155.05821538461535,156.48314999999997,4.0
156.48314999999997,157.90808461538458,1.0
157.90808461538458,159.3330192307692,1.0
159.3330192307692,160.7579538461538,1.0
160.7579538461538,162.18288846153843,1.0
162.18288846153843,163.60782307692304,0.0
163.60782307692304,165.03275769230765,0.0
165.03275769230765,166.45769230769227,1.0
