time,x,y,download_speed,download_units,upload_speed,upload_units,latency,latency_units,loss,loss_units
2023-09-29 16:06:20.649651,37.42796,122.16366,6.27,Mb/s,6.27,Mb/s,5,ms,0.00,%
2023-09-28 15:09:24.208205,37.42449,122.17042,100.47,Mb/s,160.09,Mb/s,5,ms,0.00,%
2023-09-28 15:09:24.205053,37.42095,122.17379,230.76,Mb/s,156.58,Mb/s,4,ms,0.00,%
2023-09-28 15:09:24.217673,37.42444,122.17052,290.19,Mb/s,332.55,Mb/s,4,ms,0.01,%
2023-09-29 16:09:19.595798,37.42815,122.16290,108.39,Mb/s,100.92,Mb/s,4,ms,0.34,%
2023-09-29 15:58:25.315427,37.42786,122.16839,64.51,Mb/s,80.23,Mb/s,5,ms,1.07,%
2023-10-11 11:16:44.753314,37.42477,122.16705,55.27,Mb/s,46.13,Mb/s,7,ms,0.69,%
2023-10-10 18:41:00.130572,37.42946,122.16708,130.74,Mb/s,120.01,Mb/s,4,ms,0.00,%
2023-09-28 15:09:24.223442,37.42147,122.16859,117.90,Mb/s,124.54,Mb/s,6,ms,0.00,%
2023-09-28 15:09:24.205964,37.42908,122.16756,107.65,Mb/s,238.82,Mb/s,4,ms,0.00,%
