,date,county,state,fips,cases,deaths,population,cases_1000,deaths_1000,new_cases,new_deaths,roll_new_cases,roll_new_deaths,icu_covid,covid_total_7davg,available_total,vents_pts,vents_available,roll_icu_covid,roll_available_total
0,2020-03-27,Santa Clara,California,6085.0,574,21.0,1938000,0.2961816305469556,0.010835913312693499,32.0,1.0,54.0,1.8571428571428572,63,125.0,359,95,,63.0,359.0
1,2020-03-28,Santa Clara,California,6085.0,591,26.0,1938000,0.30495356037151705,0.013415892672858616,17.0,5.0,46.857142857142854,2.5714285714285716,66,133.0,490,90,,64.5,424.5
2,2020-03-29,Santa Clara,California,6085.0,646,26.0,1938000,0.3333333333333333,0.013415892672858616,55.0,0.0,49.0,2.142857142857143,69,138.66666999999998,640,115,,66.0,496.3333333333333
3,2020-03-30,Santa Clara,California,6085.0,848,29.0,1938000,0.4375644994840041,0.014963880288957688,202.0,3.0,75.28571428571429,2.5714285714285716,72,142.5,647,110,,67.5,534.0
4,2020-03-31,Santa Clara,California,6085.0,890,31.0,1938000,0.45923632610939114,0.015995872033023734,42.0,2.0,73.57142857142857,2.0,73,143.8,703,107,,68.6,567.8
5,2020-04-01,Santa Clara,California,6085.0,956,33.0,1938000,0.49329205366357065,0.017027863777089782,66.0,2.0,71.0,2.142857142857143,82,145.16666999999998,561,128,,70.83333333333333,566.6666666666666
6,2020-04-02,Santa Clara,California,6085.0,1019,37.0,1938000,0.5257997936016512,0.019091847265221878,63.0,4.0,68.14285714285714,2.4285714285714284,75,148.0,465,143,,71.42857142857143,552.1428571428571
7,2020-04-03,Santa Clara,California,6085.0,1094,39.0,1938000,0.564499484004128,0.020123839009287926,75.0,2.0,74.28571428571429,2.5714285714285716,76,153.71428999999998,438,145,,73.28571428571429,563.4285714285714
8,2020-04-04,Santa Clara,California,6085.0,1148,40.0,1938000,0.5923632610939112,0.02063983488132095,54.0,1.0,79.57142857142857,2.0,69,157.57143,412,113,,73.71428571428571,552.2857142857143
9,2020-04-05,Santa Clara,California,6085.0,1207,40.0,1938000,0.6228070175438597,0.02063983488132095,59.0,0.0,80.14285714285714,2.0,72,160.0,556,130,,74.14285714285714,540.2857142857143
10,2020-04-06,Santa Clara,California,6085.0,1224,40.0,1938000,0.631578947368421,0.02063983488132095,17.0,0.0,53.714285714285715,1.5714285714285714,72,164.14286,575,166,,74.14285714285714,530.0
11,2020-04-07,Santa Clara,California,6085.0,1285,44.0,1938000,0.6630546955624355,0.022703818369453045,61.0,4.0,56.42857142857143,1.8571428571428572,74,169.85714,781,132,,74.28571428571429,541.1428571428571
12,2020-04-08,Santa Clara,California,6085.0,1380,47.0,1938000,0.7120743034055728,0.024251805985552117,95.0,3.0,60.57142857142857,2.0,73,169.57143,678,126,,73.0,557.8571428571429
13,2020-04-09,Santa Clara,California,6085.0,1442,48.0,1938000,0.7440660474716202,0.024767801857585137,62.0,1.0,60.42857142857143,1.5714285714285714,77,167.57143,759,141,,73.28571428571429,599.8571428571429
14,2020-04-10,Santa Clara,California,6085.0,1484,50.0,1938000,0.7657378740970072,0.025799793601651185,42.0,2.0,55.714285714285715,1.5714285714285714,66,166.14286,960,108,,71.85714285714286,674.4285714285714
15,2020-04-11,Santa Clara,California,6085.0,1566,52.0,1938000,0.8080495356037152,0.026831785345717233,82.0,2.0,59.714285714285715,1.7142857142857142,69,162.14286,468,116,,71.85714285714286,682.4285714285714
16,2020-04-12,Santa Clara,California,6085.0,1621,54.0,1938000,0.8364293085655315,0.027863777089783284,55.0,2.0,59.142857142857146,2.0,69,158.14286,502,105,,71.42857142857143,674.7142857142857
17,2020-04-13,Santa Clara,California,6085.0,1666,61.0,1938000,0.8596491228070176,0.03147574819401445,45.0,7.0,63.142857142857146,3.0,64,153.14286,1042,132,,70.28571428571429,741.4285714285714
18,2020-04-14,Santa Clara,California,6085.0,1666,61.0,1938000,0.8596491228070176,0.03147574819401445,0.0,0.0,54.42857142857143,2.4285714285714284,65,145.85714,1032,132,,69.0,777.2857142857143
19,2020-04-15,Santa Clara,California,6085.0,1793,66.0,1938000,0.9251805985552115,0.034055727554179564,127.0,5.0,59.0,2.7142857142857144,64,144.57143,986,107,,67.71428571428571,821.2857142857143
20,2020-04-16,Santa Clara,California,6085.0,1833,70.0,1938000,0.9458204334365325,0.03611971104231166,40.0,4.0,55.857142857142854,3.142857142857143,58,142.57143,1187,132,,65.0,882.4285714285714
21,2020-04-17,Santa Clara,California,6085.0,1870,74.0,1938000,0.9649122807017544,0.038183694530443756,37.0,4.0,55.142857142857146,3.4285714285714284,72,141.71428999999998,1251,132,,65.85714285714286,924.0
22,2020-04-18,Santa Clara,California,6085.0,1870,74.0,1938000,0.9649122807017544,0.038183694530443756,0.0,0.0,43.42857142857143,3.142857142857143,66,142.14286,1209,123,,65.42857142857143,1029.857142857143
23,2020-04-19,Santa Clara,California,6085.0,1870,74.0,1938000,0.9649122807017544,0.038183694530443756,0.0,0.0,35.57142857142857,2.857142857142857,67,142.71428999999998,905,133,,65.14285714285714,1087.4285714285713
24,2020-04-20,Santa Clara,California,6085.0,1922,84.0,1938000,0.9917440660474717,0.043343653250773995,52.0,10.0,36.57142857142857,3.2857142857142856,69,143.85714,833,171,,65.85714285714286,1057.5714285714287
25,2020-04-21,Santa Clara,California,6085.0,1946,89.0,1938000,1.0041279669762642,0.04592363261093911,24.0,5.0,40.0,4.0,69,144.71428999999998,724,170,,66.42857142857143,1013.5714285714286
26,2020-04-22,Santa Clara,California,6085.0,1962,95.0,1938000,1.0123839009287927,0.049019607843137254,16.0,6.0,24.142857142857142,4.142857142857143,67,144.14286,815,182,,66.85714285714286,989.1428571428571
27,2020-04-23,Santa Clara,California,6085.0,1987,96.0,1938000,1.025283797729618,0.049535603715170275,25.0,1.0,22.0,3.7142857142857144,66,145.0,993,165,,68.0,961.4285714285714
28,2020-04-24,Santa Clara,California,6085.0,2018,99.0,1938000,1.0412796697626419,0.05108359133126935,31.0,3.0,21.142857142857142,3.5714285714285716,60,142.42857,1149,151,,66.28571428571429,946.8571428571429
29,2020-04-25,Santa Clara,California,6085.0,2040,100.0,1938000,1.0526315789473684,0.05159958720330237,22.0,1.0,24.285714285714285,3.7142857142857144,61,140.0,1185,180,,65.57142857142857,943.4285714285714
30,2020-04-26,Santa Clara,California,6085.0,2084,101.0,1938000,1.0753353973168216,0.0521155830753354,44.0,1.0,30.571428571428573,3.857142857142857,65,137.42857,1148,162,,65.28571428571429,978.1428571428571
31,2020-04-27,Santa Clara,California,6085.0,2105,104.0,1938000,1.0861713106295148,0.053663570691434466,21.0,3.0,26.142857142857142,2.857142857142857,55,131.57143,1079,153,,63.285714285714285,1013.2857142857143
32,2020-04-28,Santa Clara,California,6085.0,2122,107.0,1938000,1.0949432404540762,0.055211558307533534,17.0,3.0,25.142857142857142,2.5714285714285716,50,127.57143,1115,160,,60.57142857142857,1069.142857142857
33,2020-04-29,Santa Clara,California,6085.0,2134,108.0,1938000,1.1011351909184728,0.05572755417956657,12.0,1.0,24.571428571428573,1.8571428571428572,45,123.57143,1092,154,,57.42857142857143,1108.7142857142858
34,2020-04-30,Santa Clara,California,6085.0,2163,112.0,1938000,1.1160990712074303,0.05779153766769866,29.0,4.0,25.142857142857142,2.2857142857142856,43,118.0,1071,148,,54.142857142857146,1119.857142857143
35,2020-05-01,Santa Clara,California,6085.0,2179,114.0,1938000,1.1243550051599587,0.058823529411764705,16.0,2.0,23.0,2.142857142857143,36,112.57143,1103,147,,50.714285714285715,1113.2857142857142
36,2020-05-02,Santa Clara,California,6085.0,2204,115.0,1938000,1.1372549019607843,0.05933952528379773,25.0,1.0,23.428571428571427,2.142857142857143,37,108.0,1115,153,,47.285714285714285,1103.2857142857142
37,2020-05-03,Santa Clara,California,6085.0,2231,116.0,1938000,1.1511867905056758,0.05985552115583075,27.0,1.0,21.0,2.142857142857143,37,104.0,1211,160,,43.285714285714285,1112.2857142857142
38,2020-05-04,Santa Clara,California,6085.0,2244,118.0,1938000,1.1578947368421053,0.0608875128998968,13.0,2.0,19.857142857142858,2.0,35,100.57143,1179,155,,40.42857142857143,1126.5714285714287
39,2020-05-05,Santa Clara,California,6085.0,2255,122.0,1938000,1.1635706914344686,0.0629514963880289,11.0,4.0,19.0,2.142857142857143,35,95.42857,1162,151,,38.285714285714285,1133.2857142857142
40,2020-05-06,Santa Clara,California,6085.0,2268,122.0,1938000,1.1702786377708978,0.0629514963880289,13.0,0.0,19.142857142857142,2.0,33,90.71429,1078,153,,36.57142857142857,1131.2857142857142
41,2020-05-07,Santa Clara,California,6085.0,2281,122.0,1938000,1.176986584107327,0.0629514963880289,13.0,0.0,16.857142857142858,1.4285714285714286,29,86.14286,1093,159,,34.57142857142857,1134.4285714285713
42,2020-05-08,Santa Clara,California,6085.0,2290,129.0,1938000,1.1816305469556243,0.06656346749226007,9.0,7.0,15.857142857142858,2.142857142857143,30,83.28571,1053,163,,33.714285714285715,1127.2857142857142
43,2020-05-09,Santa Clara,California,6085.0,2307,131.0,1938000,1.1904024767801857,0.06759545923632611,17.0,2.0,14.714285714285714,2.2857142857142856,25,79.28571,1076,151,,32.0,1121.7142857142858
44,2020-05-10,Santa Clara,California,6085.0,2339,131.0,1938000,1.2069143446852424,0.06759545923632611,32.0,0.0,15.428571428571429,2.142857142857143,25,74.85714,1149,148,,30.285714285714285,1112.857142857143
