id,timestamp,illuminance,latitude,longitude,altitude,log_illuminance,diameter
CF5A23EE-408A-442A-B297-D0016BAD2E07,2024-03-27 03:03:11 +0000,2.8,37.42106953173636,-122.17358864855224,46.69817733764648,15.845129975145431,158.45129975145431
2473A4A6-7F8A-4706-8ED0-79B2664B1E29,2024-03-27 03:03:14 +0000,3.2,37.42106630470364,-122.1735920013135,47.51812362670898,15.978661367769954,159.78661367769953
F411B37E-A244-4963-9979-BA62368C5DA8,2024-03-27 03:03:15 +0000,3.1,37.42106684952734,-122.1735928395038,48.19598007202149,15.946912669455374,159.46912669455375
92E5AD95-AE00-414B-9CD6-D640A3CCCBC9,2024-03-27 03:03:18 +0000,3.0,37.4210654246038,-122.17359300714187,49.164852142333984,15.914122846632383,159.14122846632384
071D8DBE-8811-4602-A49F-279AA9B3A027,2024-03-27 03:03:21 +0000,2.0,37.42106999274116,-122.17358688835256,47.8956260913983,15.508657738524219,155.08657738524218
FED630A4-A0B9-4CCA-98F1-E8BE8B36F626,2024-03-27 03:03:32 +0000,1e-06,37.42113382382621,-122.17351723221849,44.62545400671661,1.0,10.0
AF1E8FDD-B000-4B51-8DE4-F48F67BEC799,2024-03-27 03:03:35 +0000,1e-06,37.42114241238457,-122.17350256640664,44.117275262251496,1.0,10.0
09125EC0-311E-4660-A48E-119319D19427,2024-03-27 03:03:39 +0000,1e-06,37.42117726554671,-122.17346947132758,43.81734856683761,1.0,10.0
9F6070CC-65D3-4ED7-B7BF-5F652C94F548,2024-03-27 03:03:42 +0000,1e-06,37.42120937381284,-122.17346260052138,46.81656636111438,1.0,10.0
B138FAB6-CA7E-49A6-8707-57318BED03B3,2024-03-27 03:04:03 +0000,4.2,37.42112396677763,-122.1732777156438,47.125546854920685,16.250595083253597,162.50595083253597
EB702284-D512-408C-B709-894BF5DE17C3,2024-03-27 03:04:06 +0000,4.9,37.42111489021139,-122.17325278715744,47.76953211799264,16.404745763080854,164.04745763080854
28B0F46F-7FAE-4C1D-9211-52E826AEA5C3,2024-03-27 03:04:13 +0000,3.3,37.42106922731596,-122.1732239253071,47.83985400665552,16.009433026436707,160.09433026436707
7BD08771-33D3-4F92-9786-25F1F4BA8564,2024-03-27 03:04:22 +0000,1e-06,37.421004624676414,-122.17323161792392,49.13309366255999,1.0,10.0
ECC4A826-47AA-42E7-BF64-C3C5F046DD12,2024-03-27 03:04:30 +0000,2.4,37.42095438622477,-122.17330519005516,47.7510765530169,15.690979295318174,156.90979295318175
C1C287C6-E19D-46BF-8F94-5E2BAE7A281E,2024-03-27 03:04:32 +0000,4.1,37.42094644525277,-122.17329844676593,47.798928561620414,16.226497531674536,162.26497531674536
B58BDC6E-ECAA-4081-A292-203BEB107651,2024-03-27 03:04:35 +0000,4.5,37.42093295853318,-122.17329440299996,47.469576568342745,16.31958795474055,163.19587954740547
F264D5A4-BF78-49A2-AA9C-0D50CD36F5FD,2024-03-27 03:04:52 +0000,14.7,37.420884489832495,-122.17331368945376,47.94150246772915,17.503358051748965,175.03358051748964
9A673F89-A757-4E26-98D3-348DB9DFD30F,2024-03-27 03:05:07 +0000,12.6,37.42083550423666,-122.1733704976745,48.58799545932561,17.349207371921707,173.49207371921707
A0C22C4E-1495-4ABB-AEA4-1D2B08AB42F7,2024-03-27 03:05:11 +0000,12.7,37.42083395933275,-122.1733961676218,48.710796954110265,17.35711255142882,173.5711255142882
57DEFF79-90E0-451E-862F-8F75633A951A,2024-03-27 03:05:23 +0000,1.1,37.42078315044062,-122.17330032356008,49.31101843714714,14.9108207377686,149.108207377686
9DEC5360-0B0A-48E8-BC58-06F008DDA9D4,2024-03-27 03:05:53 +0000,1e-06,37.42074319155122,-122.17359137943444,47.58952706027776,1.0,10.0
C6E018B3-8DA9-4635-BC8E-63F0226741BE,2024-03-27 03:06:03 +0000,4.5,37.42079688463812,-122.1735928579688,47.56197854503989,16.31958795474055,163.19587954740547
1080D611-D173-4825-A6F9-954CD63636DE,2024-03-27 03:06:12 +0000,1.1,37.42074412752635,-122.17365665107432,47.13310001976788,14.9108207377686,149.108207377686
E6AF5AE6-65C7-4CD4-80B6-0C1AFF4676F4,2024-03-27 03:06:58 +0000,9.3,37.42072491775775,-122.1737865679222,45.12072599306703,17.045524958123483,170.45524958123482
AB45B833-24AF-43AB-8616-C8E32D3EF456,2024-03-27 03:07:01 +0000,9.0,37.42072566636502,-122.17378917050311,45.06882538367063,17.012735135300492,170.1273513530049
3FDE08EB-FDA8-4B7E-AD27-05AC83032DE0,2024-03-27 03:07:03 +0000,8.9,37.42072743224433,-122.17380653911688,45.22921416256577,17.00156183470237,170.0156183470237
3C030F41-7F9D-46B8-A28C-755C9F1F65D3,2024-03-27 03:07:36 +0000,8.7,37.42086606734242,-122.17399186445034,44.4408308994025,16.978833583624812,169.7883358362481
03E00061-86F1-490D-B5F2-E82087E79595,2024-03-27 03:07:48 +0000,24.2,37.42095005898143,-122.17395542960236,44.4682055125013,18.001863191126915,180.01863191126915
039C3004-9865-46A1-A0EB-AAA4A82B7A60,2024-03-27 03:08:00 +0000,19.4,37.42102097639997,-122.17390924002704,45.154012775979936,17.780783624033557,177.80783624033558
B4DBFBAA-12B7-44BB-8EAD-A242D57F2AD8,2024-03-27 03:08:14 +0000,6.9,37.42106350437068,-122.17388454532308,43.60417990107089,16.747031969567487,167.47031969567487
678E5F1C-5694-4C71-A78F-FEC8748BB581,2024-03-27 03:08:29 +0000,4.5,37.42110295970076,-122.17389390090906,43.00519806519151,16.31958795474055,163.19587954740547
