Requirement,Department,Department Code,Number of Courses,Year
Scientific Method and Analysis,Action Learning Programs,ALP,0,2023-2024
Formal Reasoning,Action Learning Programs,ALP,0,2023-2024
Applied Quantitative Reasoning,Action Learning Programs,ALP,0,2023-2024
Ethical Reasoning,Action Learning Programs,ALP,0,2023-2024
Social Inquiry,Business General Pathways,BUSGEN,0,2023-2024
Exploring Difference and Power,Business General Pathways,BUSGEN,0,2023-2024
Aesthetic and Interpretive Inquiry,Business General Pathways,BUSGEN,0,2023-2024
Creative Expression,Business General Pathways,BUSGEN,0,2023-2024
Scientific Method and Analysis,Business General Pathways,BUSGEN,0,2023-2024
Formal Reasoning,Business General Pathways,BUSGEN,0,2023-2024
Applied Quantitative Reasoning,Business General Pathways,BUSGEN,0,2023-2024
Ethical Reasoning,Business General Pathways,BUSGEN,0,2023-2024
Social Inquiry,Economic Analysis & Policy,MGTECON,0,2023-2024
Exploring Difference and Power,Economic Analysis & Policy,MGTECON,0,2023-2024
Aesthetic and Interpretive Inquiry,Economic Analysis & Policy,MGTECON,0,2023-2024
Creative Expression,Economic Analysis & Policy,MGTECON,0,2023-2024
Scientific Method and Analysis,Economic Analysis & Policy,MGTECON,0,2023-2024
Formal Reasoning,Economic Analysis & Policy,MGTECON,0,2023-2024
Applied Quantitative Reasoning,Economic Analysis & Policy,MGTECON,0,2023-2024
Ethical Reasoning,Economic Analysis & Policy,MGTECON,0,2023-2024
Social Inquiry,Finance,FINANCE,0,2023-2024
Exploring Difference and Power,Finance,FINANCE,0,2023-2024
Aesthetic and Interpretive Inquiry,Finance,FINANCE,0,2023-2024
Creative Expression,Finance,FINANCE,0,2023-2024
Scientific Method and Analysis,Finance,FINANCE,0,2023-2024
Formal Reasoning,Finance,FINANCE,0,2023-2024
Applied Quantitative Reasoning,Finance,FINANCE,0,2023-2024
Ethical Reasoning,Finance,FINANCE,0,2023-2024
Social Inquiry,GSB General & Interdisciplinary,GSBGEN,1,2023-2024
Exploring Difference and Power,GSB General & Interdisciplinary,GSBGEN,0,2023-2024
Aesthetic and Interpretive Inquiry,GSB General & Interdisciplinary,GSBGEN,0,2023-2024
Creative Expression,GSB General & Interdisciplinary,GSBGEN,0,2023-2024
Scientific Method and Analysis,GSB General & Interdisciplinary,GSBGEN,0,2023-2024
Formal Reasoning,GSB General & Interdisciplinary,GSBGEN,0,2023-2024
Applied Quantitative Reasoning,GSB General & Interdisciplinary,GSBGEN,0,2023-2024
Ethical Reasoning,GSB General & Interdisciplinary,GSBGEN,0,2023-2024
Social Inquiry,GSB Interdisciplinary,GSBGID,0,2023-2024
Exploring Difference and Power,GSB Interdisciplinary,GSBGID,0,2023-2024
Aesthetic and Interpretive Inquiry,GSB Interdisciplinary,GSBGID,0,2023-2024
Creative Expression,GSB Interdisciplinary,GSBGID,0,2023-2024
Scientific Method and Analysis,GSB Interdisciplinary,GSBGID,0,2023-2024
Formal Reasoning,GSB Interdisciplinary,GSBGID,0,2023-2024
Applied Quantitative Reasoning,GSB Interdisciplinary,GSBGID,0,2023-2024
Ethical Reasoning,GSB Interdisciplinary,GSBGID,0,2023-2024
Social Inquiry,Human Resource Management,HRMGT,0,2023-2024
Exploring Difference and Power,Human Resource Management,HRMGT,0,2023-2024
Aesthetic and Interpretive Inquiry,Human Resource Management,HRMGT,0,2023-2024
Creative Expression,Human Resource Management,HRMGT,0,2023-2024
Scientific Method and Analysis,Human Resource Management,HRMGT,0,2023-2024
Formal Reasoning,Human Resource Management,HRMGT,0,2023-2024
Applied Quantitative Reasoning,Human Resource Management,HRMGT,0,2023-2024
Ethical Reasoning,Human Resource Management,HRMGT,0,2023-2024
Social Inquiry,Marketing,MKTG,0,2023-2024
Exploring Difference and Power,Marketing,MKTG,0,2023-2024
Aesthetic and Interpretive Inquiry,Marketing,MKTG,0,2023-2024
Creative Expression,Marketing,MKTG,0,2023-2024
Scientific Method and Analysis,Marketing,MKTG,0,2023-2024
Formal Reasoning,Marketing,MKTG,0,2023-2024
