Department,Requirement,2014-2015,2015-2016,2016-2017,2023-2024,2017-2018,2018-2019,2019-2020,2020-2021,2021-2022,2022-2023
LINGUIST,WAY-SI,5.0,7.0,7.0,3.0,4.0,4.0,3.0,3.0,3.0,3.0
LINGUIST,WAY-SMA,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
MATH,WAY-A-II,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
MATH,WAY-AQR,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0
MATH,WAY-FR,23.0,23.0,24.0,52.0,20.0,29.0,47.0,48.0,51.0,52.0
MATH,WAY-SMA,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0
MUSIC,WAY-A-II,46.0,47.0,53.0,49.0,56.0,45.0,46.0,49.0,49.0,44.0
MUSIC,WAY-CE,97.0,102.0,109.0,123.0,113.0,114.0,122.0,129.0,124.0,118.0
MUSIC,WAY-EDP,10.0,10.0,11.0,8.0,12.0,7.0,9.0,9.0,9.0,6.0
MUSIC,WAY-SI,0.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0
MUSIC,WAY-SMA,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0
NATIVEAM,WAY-A-II,2.0,2.0,3.0,1.0,4.0,4.0,4.0,2.0,2.0,2.0
NATIVEAM,WAY-CE,1.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
NATIVEAM,WAY-EDP,4.0,5.0,7.0,8.0,8.0,9.0,9.0,6.0,6.0,7.0
NATIVEAM,WAY-SI,0.0,1.0,2.0,2.0,2.0,3.0,1.0,0.0,0.0,1.0
PHIL,WAY-A-II,44.0,46.0,49.0,31.0,35.0,32.0,32.0,34.0,34.0,32.0
PHIL,WAY-AQR,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PHIL,WAY-CE,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
PHIL,WAY-EDP,2.0,3.0,3.0,1.0,3.0,3.0,1.0,1.0,0.0,0.0
PHIL,WAY-ER,30.0,30.0,35.0,25.0,29.0,25.0,27.0,30.0,30.0,30.0
PHIL,WAY-FR,8.0,9.0,8.0,6.0,5.0,5.0,6.0,6.0,6.0,6.0
PHIL,WAY-SI,0.0,0.0,0.0,3.0,0.0,1.0,1.0,2.0,2.0,1.0
PHIL,WAY-SMA,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
PHYSICS,WAY-AQR,6.0,6.0,6.0,8.0,6.0,6.0,6.0,7.0,8.0,8.0
PHYSICS,WAY-FR,8.0,8.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
PHYSICS,WAY-SMA,26.0,25.0,28.0,30.0,26.0,27.0,27.0,28.0,29.0,30.0
POLISCI,WAY-A-II,6.0,6.0,7.0,5.0,7.0,5.0,5.0,5.0,5.0,6.0
POLISCI,WAY-AQR,5.0,7.0,8.0,9.0,10.0,9.0,9.0,11.0,11.0,9.0
POLISCI,WAY-EDP,14.0,16.0,16.0,4.0,12.0,10.0,8.0,7.0,9.0,8.0
POLISCI,WAY-ER,17.0,17.0,20.0,28.0,22.0,20.0,24.0,26.0,31.0,33.0
POLISCI,WAY-FR,2.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,2.0
POLISCI,WAY-SI,51.0,59.0,67.0,58.0,70.0,63.0,61.0,63.0,67.0,60.0
PSYCH,WAY-A-II,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0
PSYCH,WAY-AQR,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
PSYCH,WAY-EDP,5.0,5.0,5.0,8.0,6.0,7.0,7.0,8.0,9.0,8.0
PSYCH,WAY-ER,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PSYCH,WAY-FR,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
PSYCH,WAY-SI,35.0,35.0,35.0,32.0,28.0,25.0,26.0,28.0,31.0,31.0
PSYCH,WAY-SMA,7.0,7.0,6.0,5.0,4.0,5.0,5.0,6.0,5.0,5.0
PUBLPOL,WAY-AQR,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0
PUBLPOL,WAY-EDP,3.0,3.0,4.0,4.0,4.0,5.0,6.0,5.0,5.0,4.0
PUBLPOL,WAY-ER,4.0,5.0,7.0,6.0,7.0,8.0,9.0,8.0,8.0,8.0
PUBLPOL,WAY-SI,12.0,12.0,20.0,23.0,23.0,24.0,25.0,26.0,28.0,22.0
PUBLPOL,WAY-SMA,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
RELIGST,WAY-A-II,35.0,38.0,34.0,34.0,32.0,31.0,45.0,49.0,60.0,66.0
RELIGST,WAY-CE,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
RELIGST,WAY-EDP,21.0,27.0,25.0,22.0,24.0,24.0,26.0,27.0,34.0,33.0
RELIGST,WAY-ER,4.0,3.0,2.0,3.0,1.0,1.0,4.0,4.0,4.0,5.0
RELIGST,WAY-SI,8.0,13.0,14.0,19.0,16.0,16.0,14.0,19.0,27.0,26.0
REES,WAY-A-II,2.0,2.0,2.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0
REES,WAY-EDP,3.0,5.0,3.0,2.0,3.0,2.0,3.0,3.0,2.0,2.0
REES,WAY-SI,2.0,4.0,2.0,4.0,3.0,2.0,3.0,4.0,4.0,4.0
STS,WAY-A-II,3.0,4.0,3.0,1.0,3.0,2.0,3.0,2.0,2.0,1.0
STS,WAY-CE,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
STS,WAY-EDP,1.0,1.0,1.0,0.0,1.0,1.0,2.0,1.0,1.0,0.0
STS,WAY-ER,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0
STS,WAY-SI,9.0,9.0,8.0,4.0,9.0,6.0,8.0,9.0,9.0,4.0
SLAVIC,WAY-A-II,10.0,12.0,18.0,21.0,10.0,15.0,6.0,13.0,17.0,18.0
SLAVIC,WAY-EDP,1.0,1.0,1.0,2.0,0.0,0.0,1.0,2.0,2.0,2.0
SLAVIC,WAY-SI,1.0,1.0,2.0,8.0,1.0,6.0,1.0,4.0,7.0,7.0
SOC,WAY-A-II,0.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0,1.0,2.0
SOC,WAY-AQR,1.0,1.0,1.0,4.0,1.0,1.0,1.0,2.0,2.0,4.0
SOC,WAY-EDP,15.0,16.0,17.0,23.0,17.0,22.0,23.0,24.0,25.0,24.0
SOC,WAY-ER,0.0,0.0,1.0,3.0,2.0,2.0,3.0,3.0,4.0,4.0
SOC,WAY-SI,28.0,29.0,33.0,63.0,35.0,51.0,56.0,59.0,62.0,66.0
SOC,WAY-SMA,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
SPANLANG,WAY-A-II,0.0,0.0,0.0,1.0,0.0,2.0,2.0,2.0,1.0,1.0
SPANLANG,WAY-EDP,1.0,2.0,3.0,3.0,3.0,4.0,4.0,4.0,3.0,3.0
SPANLANG,WAY-ER,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
SPANLANG,WAY-SI,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
ILAC,WAY-A-II,54.0,54.0,54.0,104.0,34.0,42.0,58.0,72.0,80.0,98.0
ILAC,WAY-CE,10.0,14.0,14.0,10.0,8.0,8.0,8.0,8.0,8.0,8.0
ILAC,WAY-EDP,16.0,14.0,18.0,32.0,16.0,16.0,18.0,18.0,24.0,32.0
ILAC,WAY-ER,0.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0
ILAC,WAY-SI,2.0,2.0,8.0,14.0,4.0,4.0,8.0,10.0,12.0,14.0
SIW,WAY-A-II,,2.0,2.0,1.0,3.0,3.0,2.0,1.0,1.0,1.0
SIW,WAY-EDP,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
STATS,WAY-AQR,7.0,7.0,8.0,8.0,7.0,7.0,7.0,7.0,8.0,9.0
STATS,WAY-FR,5.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
SYMSYS,WAY-A-II,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0
SYMSYS,WAY-EDP,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
SYMSYS,WAY-ER,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SYMSYS,WAY-FR,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SYMSYS,WAY-SI,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
TAPS,WAY-A-II,50.0,56.0,58.0,58.0,42.0,54.0,60.0,62.0,64.0,70.0
TAPS,WAY-CE,100.0,98.0,68.0,100.0,84.0,86.0,90.0,96.0,102.0,108.0
TAPS,WAY-EDP,22.0,26.0,20.0,28.0,26.0,28.0,34.0,36.0,42.0,42.0
TAPS,WAY-ER,8.0,6.0,0.0,4.0,4.0,6.0,6.0,6.0,6.0,6.0
TAPS,WAY-SI,6.0,6.0,4.0,6.0,8.0,8.0,8.0,8.0,8.0,8.0
URBANST,WAY-A-II,0.0,0.0,3.0,7.0,5.0,9.0,4.0,6.0,6.0,6.0
URBANST,WAY-AQR,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
URBANST,WAY-CE,1.0,1.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0
URBANST,WAY-EDP,8.0,10.0,10.0,15.0,12.0,17.0,13.0,12.0,12.0,15.0
URBANST,WAY-ER,1.0,1.0,1.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0
URBANST,WAY-SI,18.0,20.0,27.0,38.0,33.0,37.0,33.0,34.0,36.0,38.0
URBANST,WAY-SMA,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
LAWGEN,WAY-AQR,,1.0,,0.0,,,,,,
LAWGEN,WAY-EDP,,0.0,,1.0,,,,,,
LAWGEN,WAY-SI,,1.0,,0.0,,,,,,
ANES,WAY-CE,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ANES,WAY-EDP,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BIOC,WAY-SMA,4.0,3.0,2.0,,2.0,2.0,2.0,2.0,2.0,
BIODS,WAY-AQR,,,,1.0,,,1.0,1.0,1.0,1.0
BIODS,WAY-FR,,,,1.0,,,1.0,1.0,1.0,1.0
BIOMEDIN,WAY-SI,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
CHPR,WAY-SMA,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
COMPMED,WAY-SMA,5.0,5.0,4.0,5.0,4.0,4.0,4.0,5.0,4.0,5.0
EMED,WAY-A-II,,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
EMED,WAY-CE,,0.0,0.0,1.0,0.0,2.0,3.0,2.0,2.0,2.0
EMED,WAY-EDP,,0.0,0.0,1.0,0.0,1.0,2.0,2.0,2.0,2.0
EMED,WAY-SI,,2.0,3.0,2.0,1.0,4.0,4.0,2.0,2.0,2.0
GENE,WAY-ER,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
LEAD,WAY-CE,,,,1.0,,,,0.0,1.0,1.0
LEAD,WAY-EDP,,,,2.0,,,,1.0,2.0,2.0
LEAD,WAY-ER,,,,1.0,,,,0.0,0.0,0.0
LIFE,WAY-A-II,,,,2.0,0.0,0.0,0.0,2.0,2.0,2.0
LIFE,WAY-CE,,,,16.0,4.0,6.0,5.0,7.0,11.0,14.0
LIFE,WAY-EDP,,,,9.0,2.0,2.0,3.0,6.0,8.0,8.0
MED,WAY-CE,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0
MED,WAY-EDP,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0
MED,WAY-ER,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
MED,WAY-SI,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0
MED,WAY-SMA,1.0,2.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,4.0
MI,WAY-CE,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0
MI,WAY-SMA,,,,0.0,1.0,1.0,1.0,1.0,0.0,0.0
NBIO,WAY-ER,,,,1.0,,1.0,1.0,,,1.0
NENS,WAY-SMA,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
NSUR,WAY-SMA,,,,,,,,,1.0,
OBGYN,WAY-A-II,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0
OBGYN,WAY-EDP,,,,1.0,0.0,0.0,0.0,1.0,1.0,1.0
OBGYN,WAY-SI,,,,1.0,0.0,0.0,0.0,1.0,1.0,1.0
PATH,WAY-SMA,,,,1.0,,,,1.0,1.0,1.0
PEDS,WAY-CE,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
PEDS,WAY-EDP,1.0,1.0,1.0,4.0,1.0,2.0,3.0,3.0,3.0,4.0
PEDS,WAY-SI,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
PEDS,WAY-SMA,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PSYC,WAY-A-II,0.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0
PSYC,WAY-CE,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
PSYC,WAY-EDP,0.0,1.0,1.0,5.0,1.0,2.0,3.0,3.0,4.0,4.0
PSYC,WAY-ER,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,3.0
PSYC,WAY-SI,1.0,0.0,1.0,4.0,1.0,2.0,2.0,2.0,2.0,2.0
PSYC,WAY-SMA,2.0,1.0,2.0,6.0,3.0,3.0,3.0,3.0,4.0,4.0
RAD,WAY-SMA,,,,2.0,,,,,,
SOMGEN,WAY-EDP,,,,3.0,2.0,2.0,2.0,2.0,2.0,3.0
SOMGEN,WAY-ER,,,,1.0,0.0,0.0,0.0,0.0,0.0,1.0
SOMGEN,WAY-SI,,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0
SOMGEN,WAY-SMA,,,,1.0,1.0,0.0,0.0,0.0,0.0,0.0
SURG,WAY-CE,,,,1.0,,,,,1.0,1.0
WELLNESS,WAY-CE,,,,3.0,,,,1.0,2.0,3.0
CTL,WAY-EDP,1.0,,,,,,,,,
COLLEGE,WAY-A-II,,,,6.0,,,,,2.0,2.0
COLLEGE,WAY-AQR,,,,1.0,,,,,1.0,1.0
COLLEGE,WAY-EDP,,,,2.0,,,,,1.0,2.0
COLLEGE,WAY-ER,,,,3.0,,,,,1.0,3.0
COLLEGE,WAY-SI,,,,8.0,,,,,4.0,8.0
COLLEGE,WAY-SMA,,,,2.0,,,,,1.0,2.0
ESF,WAY-A-II,12.0,14.0,14.0,28.0,10.0,16.0,18.0,22.0,24.0,26.0
ESF,WAY-EDP,0.0,2.0,2.0,7.0,2.0,2.0,2.0,2.0,4.0,6.0
ESF,WAY-ER,12.0,12.0,12.0,12.0,10.0,9.0,10.0,10.0,10.0,10.0
ESF,WAY-SI,0.0,0.0,2.0,9.0,4.0,6.0,6.0,6.0,8.0,8.0
ITALIC,WAY-A-II,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
ITALIC,WAY-CE,1.0,1.0,1.0,3.0,1.0,1.0,2.0,3.0,3.0,3.0
ITALIC,WAY-EDP,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
ORALCOMM,WAY-A-II,,,,1.0,0.0,0.0,1.0,1.0,1.0,1.0
ORALCOMM,WAY-CE,,,,5.0,2.0,4.0,4.0,4.0,4.0,5.0
OSPGEN,WAY-A-II,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OSPGEN,WAY-CE,2.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0
OSPAUSTL,WAY-EDP,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
OSPAUSTL,WAY-SI,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
OSPAUSTL,WAY-SMA,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
OSPBEIJ,WAY-EDP,1.0,1.0,0.0,,,,,,,
OSPBEIJ,WAY-ER,1.0,0.0,0.0,,,,,,,
OSPBEIJ,WAY-SI,1.0,4.0,2.0,,,,,,,
OSPBER,WAY-A-II,4.0,5.0,5.0,11.0,5.0,5.0,5.0,7.0,8.0,9.0
OSPBER,WAY-AQR,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0
OSPBER,WAY-EDP,2.0,1.0,2.0,4.0,3.0,3.0,4.0,3.0,3.0,3.0
OSPBER,WAY-ER,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0
OSPBER,WAY-SI,7.0,6.0,7.0,15.0,6.0,7.0,9.0,10.0,10.0,13.0
OSPBER,WAY-SMA,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0
OSPCPTWN,WAY-A-II,1.0,0.0,0.0,4.0,1.0,0.0,2.0,2.0,2.0,3.0
OSPCPTWN,WAY-AQR,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
OSPCPTWN,WAY-EDP,4.0,4.0,2.0,9.0,2.0,2.0,5.0,5.0,8.0,9.0
OSPCPTWN,WAY-ER,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OSPCPTWN,WAY-SI,6.0,4.0,1.0,9.0,2.0,3.0,6.0,5.0,8.0,8.0
OSPFLOR,WAY-A-II,12.0,15.0,13.0,18.0,10.0,10.0,11.0,12.0,13.0,15.0
OSPFLOR,WAY-AQR,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0
OSPFLOR,WAY-CE,3.0,4.0,4.0,5.0,4.0,4.0,5.0,5.0,5.0,5.0
OSPFLOR,WAY-EDP,3.0,5.0,5.0,14.0,5.0,5.0,8.0,7.0,9.0,12.0
OSPFLOR,WAY-ER,2.0,2.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,3.0
OSPFLOR,WAY-SI,2.0,4.0,3.0,24.0,5.0,5.0,7.0,10.0,13.0,18.0
OSPFLOR,WAY-SMA,2.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0
OSPHONGK,WAY-A-II,,,,3.0,,,3.0,3.0,3.0,3.0
OSPHONGK,WAY-CE,,,,2.0,,,2.0,2.0,2.0,2.0
OSPHONGK,WAY-EDP,,,,1.0,,,1.0,1.0,1.0,1.0
OSPHONGK,WAY-SI,,,,8.0,,,8.0,8.0,8.0,8.0
OSPISTAN,WAY-AQR,,,,1.0,,,,,,
OSPKYOTO,WAY-A-II,4.0,3.0,2.0,4.0,3.0,5.0,4.0,3.0,3.0,3.0
OSPKYOTO,WAY-AQR,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OSPKYOTO,WAY-CE,0.0,0.0,0.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0
OSPKYOTO,WAY-EDP,1.0,1.0,1.0,4.0,1.0,2.0,2.0,2.0,3.0,3.0
OSPKYOTO,WAY-SI,1.0,2.0,2.0,4.0,3.0,1.0,3.0,4.0,4.0,4.0
OSPKYOTO,WAY-SMA,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0
OSPMADRD,WAY-A-II,4.0,3.0,6.0,12.0,6.0,7.0,7.0,8.0,9.0,10.0
OSPMADRD,WAY-AQR,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0
OSPMADRD,WAY-CE,1.0,1.0,2.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0
OSPMADRD,WAY-EDP,4.0,4.0,6.0,7.0,5.0,5.0,5.0,5.0,5.0,6.0
OSPMADRD,WAY-ER,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
OSPMADRD,WAY-SI,3.0,5.0,10.0,8.0,9.0,8.0,8.0,8.0,8.0,8.0
OSPMADRD,WAY-SMA,0.0,0.0,0.0,3.0,1.0,2.0,1.0,1.0,1.0,3.0
OSPOXFRD,WAY-A-II,2.0,5.0,6.0,11.0,4.0,4.0,4.0,6.0,7.0,9.0
OSPOXFRD,WAY-AQR,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0
OSPOXFRD,WAY-CE,0.0,0.0,0.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0
OSPOXFRD,WAY-EDP,1.0,1.0,3.0,7.0,2.0,4.0,4.0,5.0,6.0,7.0
OSPOXFRD,WAY-ER,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0
OSPOXFRD,WAY-SI,3.0,5.0,9.0,18.0,8.0,7.0,6.0,12.0,15.0,16.0
OSPOXFRD,WAY-SMA,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0
OSPPARIS,WAY-A-II,8.0,7.0,8.0,16.0,7.0,6.0,6.0,6.0,7.0,15.0
OSPPARIS,WAY-AQR,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
OSPPARIS,WAY-CE,1.0,1.0,1.0,4.0,2.0,2.0,2.0,2.0,2.0,3.0
OSPPARIS,WAY-EDP,5.0,3.0,5.0,7.0,6.0,3.0,4.0,3.0,3.0,6.0
OSPPARIS,WAY-ER,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
OSPPARIS,WAY-SI,4.0,5.0,5.0,11.0,7.0,6.0,3.0,4.0,4.0,7.0
OSPPARIS,WAY-SMA,2.0,5.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0
OSPSANTG,WAY-A-II,2.0,3.0,2.0,5.0,3.0,2.0,3.0,4.0,4.0,4.0
OSPSANTG,WAY-AQR,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0
OSPSANTG,WAY-EDP,2.0,3.0,2.0,5.0,2.0,1.0,3.0,3.0,4.0,4.0
OSPSANTG,WAY-SI,3.0,3.0,5.0,7.0,7.0,6.0,6.0,6.0,6.0,7.0
OSPSANTG,WAY-SMA,0.0,0.0,1.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0
SINY,WAY-A-II,,3.0,4.0,14.0,6.0,8.0,10.0,10.0,11.0,13.0
SINY,WAY-AQR,,0.0,0.0,3.0,1.0,1.0,2.0,2.0,2.0,2.0
SINY,WAY-CE,,2.0,2.0,8.0,4.0,5.0,5.0,6.0,6.0,6.0
SINY,WAY-EDP,,1.0,1.0,7.0,1.0,3.0,5.0,5.0,6.0,7.0
SINY,WAY-SI,,2.0,3.0,9.0,5.0,5.0,6.0,6.0,6.0,9.0
SLE,WAY-A-II,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
SLE,WAY-EDP,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SLE,WAY-ER,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
THINK,WAY-A-II,11.0,13.0,14.0,4.0,16.0,14.0,14.0,15.0,14.0,14.0
THINK,WAY-AQR,5.0,5.0,5.0,0.0,5.0,2.0,1.0,1.0,1.0,1.0
THINK,WAY-CE,2.0,3.0,3.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0
THINK,WAY-EDP,6.0,8.0,7.0,1.0,7.0,6.0,6.0,6.0,6.0,6.0
THINK,WAY-ER,8.0,8.0,9.0,1.0,9.0,5.0,5.0,6.0,5.0,5.0
THINK,WAY-FR,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
THINK,WAY-SI,9.0,12.0,12.0,3.0,12.0,10.0,11.0,12.0,11.0,11.0
THINK,WAY-SMA,7.0,7.0,7.0,3.0,8.0,6.0,6.0,6.0,6.0,6.0
PWR,WAY-A-II,1.0,2.0,3.0,8.0,5.0,6.0,8.0,8.0,8.0,9.0
PWR,WAY-CE,5.0,6.0,7.0,17.0,7.0,10.0,11.0,12.0,12.0,15.0
PWR,WAY-EDP,0.0,1.0,5.0,10.0,4.0,6.0,7.0,8.0,9.0,11.0
PWR,WAY-ER,1.0,1.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
PWR,WAY-SI,0.0,1.0,3.0,6.0,3.0,4.0,4.0,4.0,5.0,6.0
