Department,Requirement,2014-2015,2015-2016,2016-2017,2023-2024,2017-2018,2018-2019,2019-2020,2020-2021,2021-2022,2022-2023
APPPHYS,WAY-CE,2.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0
APPPHYS,WAY-FR,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0
APPPHYS,WAY-SMA,3.0,3.0,4.0,5.0,4.0,4.0,5.0,5.0,5.0,5.0
ARABLANG,WAY-A-II,,,,1.0,,,,,,1.0
ARABLANG,WAY-CE,,,,1.0,,,,,,1.0
ARCHLGY,WAY-A-II,6.0,8.0,8.0,10.0,8.0,12.0,12.0,12.0,15.0,15.0
ARCHLGY,WAY-AQR,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0
ARCHLGY,WAY-CE,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0
ARCHLGY,WAY-EDP,5.0,6.0,4.0,13.0,4.0,4.0,4.0,4.0,6.0,12.0
ARCHLGY,WAY-ER,1.0,1.0,1.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0
ARCHLGY,WAY-SI,11.0,14.0,12.0,33.0,10.0,16.0,18.0,22.0,29.0,36.0
ARCHLGY,WAY-SMA,1.0,1.0,1.0,6.0,1.0,1.0,1.0,2.0,7.0,6.0
ARTHIST,WAY-A-II,38.0,44.0,49.0,52.0,51.0,55.0,60.0,41.0,49.0,50.0
ARTHIST,WAY-CE,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0
ARTHIST,WAY-EDP,10.0,12.0,14.0,16.0,15.0,16.0,18.0,11.0,13.0,13.0
ARTHIST,WAY-ER,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
ARTHIST,WAY-SI,1.0,1.0,2.0,5.0,3.0,4.0,3.0,4.0,5.0,6.0
ARTSINST,WAY-A-II,1.0,1.0,3.0,2.0,3.0,7.0,0.0,1.0,2.0,2.0
ARTSINST,WAY-CE,1.0,1.0,1.0,4.0,1.0,3.0,3.0,3.0,4.0,4.0
ARTSINST,WAY-EDP,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
ARTSINST,WAY-FR,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0
ARTSINST,WAY-SI,0.0,0.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0
ARTSINST,WAY-SMA,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ARTSTUDI,WAY-A-II,3.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0
ARTSTUDI,WAY-CE,30.0,41.0,42.0,104.0,46.0,55.0,58.0,72.0,101.0,98.0
ARTSTUDI,WAY-EDP,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ASNAMST,WAY-A-II,0.0,0.0,1.0,10.0,4.0,5.0,6.0,8.0,8.0,9.0
ASNAMST,WAY-CE,2.0,3.0,3.0,4.0,2.0,2.0,2.0,2.0,3.0,3.0
ASNAMST,WAY-EDP,6.0,7.0,8.0,24.0,9.0,11.0,13.0,17.0,20.0,22.0
ASNAMST,WAY-SI,2.0,2.0,2.0,7.0,2.0,2.0,2.0,4.0,5.0,6.0
BIO,WAY-A-II,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0
BIO,WAY-AQR,3.0,4.0,2.0,4.0,4.0,3.0,3.0,3.0,5.0,4.0
BIO,WAY-CE,4.0,4.0,3.0,5.0,4.0,4.0,4.0,5.0,5.0,5.0
BIO,WAY-EDP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
BIO,WAY-ER,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0
BIO,WAY-FR,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
BIO,WAY-SI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
BIO,WAY-SMA,30.0,30.0,26.0,39.0,30.0,31.0,32.0,33.0,37.0,36.0
BIOHOPK,WAY-A-II,0.0,0.0,0.0,,0.0,2.0,2.0,2.0,2.0,1.0
BIOHOPK,WAY-AQR,2.0,2.0,2.0,,3.0,3.0,4.0,5.0,5.0,4.0
BIOHOPK,WAY-CE,0.0,0.0,0.0,,0.0,2.0,2.0,2.0,2.0,1.0
BIOHOPK,WAY-FR,2.0,2.0,2.0,,2.0,2.0,2.0,3.0,3.0,3.0
BIOHOPK,WAY-SMA,9.0,10.0,11.0,,9.0,11.0,12.0,11.0,12.0,11.0
CHEM,WAY-AQR,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
CHEM,WAY-SMA,6.0,6.0,6.0,8.0,7.0,7.0,7.0,7.0,7.0,7.0
CHILATST,WAY-A-II,3.0,3.0,4.0,4.0,2.0,2.0,3.0,5.0,4.0,4.0
CHILATST,WAY-CE,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHILATST,WAY-EDP,7.0,7.0,8.0,11.0,6.0,5.0,9.0,11.0,10.0,13.0
CHILATST,WAY-SI,5.0,6.0,6.0,3.0,4.0,3.0,3.0,3.0,3.0,5.0
CHINA,WAY-A-II,,,8.0,12.0,7.0,9.0,9.0,11.0,11.0,11.0
CHINA,WAY-EDP,,,3.0,5.0,4.0,4.0,3.0,3.0,5.0,5.0
CHINA,WAY-ER,,,1.0,5.0,1.0,2.0,1.0,2.0,4.0,4.0
CHINA,WAY-SI,,,12.0,13.0,9.0,9.0,8.0,8.0,13.0,13.0
CLASSICS,WAY-A-II,27.0,27.0,31.0,42.0,28.0,33.0,37.0,39.0,43.0,46.0
CLASSICS,WAY-CE,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
CLASSICS,WAY-EDP,7.0,6.0,5.0,10.0,3.0,5.0,6.0,5.0,8.0,9.0
CLASSICS,WAY-ER,4.0,3.0,4.0,7.0,4.0,6.0,6.0,6.0,7.0,7.0
CLASSICS,WAY-SI,16.0,16.0,16.0,25.0,14.0,17.0,20.0,23.0,27.0,28.0
COMM,WAY-A-II,1.0,1.0,1.0,3.0,1.0,1.0,2.0,2.0,3.0,2.0
COMM,WAY-AQR,0.0,0.0,0.0,3.0,0.0,0.0,3.0,3.0,3.0,3.0
